bigram	count
#bi_#arabicnumeral_#arabicnumeral	1357281
#bi_of_the	1275668
#bi_in_the	628223
#bi_to_the	539862
#bi_to_be	337620
#bi_and_the	310749
#bi_by_the	234501
#bi_it_is	233441
#bi_for_the	199983
#bi_of_his	193047
#bi_that_the	185406
#bi_of_a	183101
#bi_from_the	175820
#bi_#romannumeral_#arabicnumeral	167024
#bi_on_the	166060
#bi_with_the	154004
#bi_the_same	151514
#bi_of_#placename	142213
#bi_all_the	130183
#bi_at_the	128716
#bi_in_a	127596
#bi_of_this	111591
#bi_that_he	104139
#bi_is_the	101826
#bi_it_was	99798
#bi_of_their	99669
#bi_as_the	99454
#bi_#arabicnumeral_and	97432
#bi_#monthoftheyear_be	93585
#bi_in_his	91515
#bi_and_that	91021
#bi_and_to	89830
#bi_i_have	89656
#bi_he_was	88158
#bi_of_god	87382
#bi_upon_the	87217
#bi_the_lord	86133
#bi_in_this	81264
#bi_have_been	78715
#bi_the_king	78650
#bi_with_a	77955
#bi_he_had	77849
#bi_is_a	77415
#bi_of_it	74657
#bi_they_are	73494
#bi_and_in	71450
#bi_is_not	71332
#bi_which_is	71248
#bi_to_his	70822
#bi_into_the	70760
#bi_out_of	70059
#bi_of_all	69113
#bi_of_our	68663
#bi_i_am	68464
#bi_of_them	67867
#bi_to_have	67149
#bi_#arabicnumeral_#romannumeral	66469
#bi_that_they	66338
#bi_#arabicnumeral_the	66058
#bi_part_of	65767
#bi_of_#personalname	65140
#bi_i_#arabicnumeral	65134
#bi_there_is	63908
#bi_to_a	63511
#bi_the_world	62863
#bi_the_said	62771
#bi_the_other	61376
#bi_will_be	60118
#bi_#placename_and	58536
#bi_as_to	58530
#bi_and_a	58437
#bi_#arabicnumeral_i	58281
#bi_the_first	58056
#bi_which_the	57467
#bi_of_that	57129
#bi_that_it	57072
#bi_but_the	56696
#bi_as_a	56475
#bi_which_he	56263
#bi_the_whole	55942
#bi_in_#placename	55365
#bi_that_is	54627
#bi_they_were	54379
#bi_to_make	54253
#bi_in_their	53606
#bi_had_been	52770
#bi_one_of	52350
#bi_not_to	51908
#bi_that_i	51587
#bi_such_a	49550
#bi_he_is	49329
#bi_and_i	49126
#bi_the_most	49014
#bi_for_a	48894
#bi_is_to	48567
#bi_and_his	48373
#bi_his_own	47809
#bi_by_a	47703
#bi_to_him	46858
