id,htid,description,title_x,imprint,rights_date_used,pub_place,bib_fmt,content_provider_code,digitization_agent_code,author_x,pubDate,title_y,publication,physicalDescription,author_y,extraAuthor,editionStatement,bibliographyEtcNote,authorCorporate,locSubject
mdp.39015063599388,001400038,,"A vindication of the Sacred Books and of Josephus, especially the former, from various misrepresentations and cavils of the celebrated M. de Voltaire ... by Robert Findlay.","Printed by R. and A. Foulis, and sold by J. Gilmour and son [etc.] 1770.",1770,stk,BK,umich,google,"Findlay, Robert, 1721-1814",1770,"A vindication of the Sacred Books and of Josephus,especially the former, from various misrepresentations and cavils of the celebrated M. de Voltaire ...by Robert Findlay","Glasgow,Printed by R. and A. Foulis, and sold by J. Gilmour and son [etc.]1770","xxxii, 587 p.21 cm","Findlay, Robert,1721-1814",,,,,"Bible---Evidences, authority, etc._Josephus, Flavius._Voltaire,---1694-1778.---Philosophie de l'histoire"
nyp.33433069251423,008619568,,"Remarks on the English language : in the nature of Vaugelas's remarks on the French, being a detection of many improper expressions used in conversation and many others to be found in authors.","Printed for J. Bell ..., 1770.",1770,enk,BK,nypl,google,"Baker, Robert, fl. 1770",1770,"Remarks on the English language :in the nature of Vaugelas's remarks on the French, being a detection of many improper expressions used in conversation and many others to be found in authors","London :Printed for J. Bell ...,1770","[4], xxxii, [2], xlv, [1], 128 p. ;18 cm. (4to)","Baker, Robert,fl. 1770",,,,,English language---Usage
uc1.31970033860815,000158257,v.1,A collection of poems in six volumes. By several hands,"Printed for J. Dodsley, 1770",1770,enk,BK,universityofcalifornia,google,"Dodsley, Robert, 1704-1764",1770,A collection of poems in six volumes.By several hands,"London,Printed for J. Dodsley,1770",6 v. ;18 cm,"Dodsley, Robert,1704-1764",,,,,Imprints---18th century---England---London.---local_English poetry---18th century
njp.32101037602594,007651935,,"Ancient Scottish poems. Published from the ms. of George Bannatyne, MDLXVIII.","Printed by A. Murray and J. Cochran, for John Balfour, 1770.",1770,stk,BK,princeton,google,"Bannatyne, George, 1545-1608?",1770,"Ancient Scottish poems.Published from the ms. of George Bannatyne, MDLXVIII","Edinburgh :Printed by A. Murray and J. Cochran, for John Balfour,1770","xii, 330, [2] p.19 cm","Bannatyne, George,1545-1608?","Henryson, Robert,1430?-1506?_Dunbar, William,1460?-1520?_Dalrymple, David,Sir,1726-1792",,,,English language---Dialects---Scotland._Scottish poetry---To 1700
nyp.33433074967864,008668068,,Sentimental lucubrations / by Peter Pennyless.,"Printed for T. Becket and P.A. De Hondt, 1770.",1770,enk,BK,nypl,google,"Pennyless, Peter",1770,Sentimental lucubrations /by Peter Pennyless,"London :Printed for T. Becket and P.A. De Hondt,1770",196 p. ;16 cm,"Pennyless, Peter",,,,,English essays
njp.32101076048717,009027329,,"Experiments on the cause of heat in living animals, and velocity of the nervous fluid.","printed by G. Scott, and sold by J. Robson, 1770.",1770,enk,BK,princeton,google,"Caverhill, John, d. 1781",1770,"Experiments on the cause of heat in living animals, and velocity of the nervous fluid","London,printed by G. Scott, and sold by J. Robson,1770",67 p.20 cm,"Caverhill, John,d. 1781",,,,,Heat
nyp.33433075884415,008645454,,"The regulations and establishment of the houshold of Henry Algernon Percy, the fifth earl of Northumberland : at his castles of Wresill and Lekinfield in Yorkshire : begun anno Domini M.D. XII.","printed, MDCCLXX [1770]",1770,enk,BK,nypl,google,"Northumberland, Henry Algernon Percy, Earl of, 1478-1527",1770,"The regulations and establishment of the houshold of Henry Algernon Percy, the fifth earl of Northumberland :at his castles of Wresill and Lekinfield in Yorkshire : begun anno Domini M.D. XII",,"xxvi, [2], x, 464, [4] pages ;23 cm (8vo)","Northumberland, Henry Algernon Percy,Earl of,1478-1527","Percy, Thomas,1729-1811",,,,"England._England---Social life and customs._Northumberland, Henry Algernon Percy,---Earl of,---1478-1527._History._Prices._Manners and customs._Home economics._Prices---History._Home economics---England"
hvd.hw3q4w,007692974,v.2,"Memoirs of Maximilian de Bethune, Duke of Sully, prime minister of Henry the Great. Newly translated from the French ed. of m. de L'Ecluse.  To which is annexed, The trial of Francis Ravaillac, for the murder of Henry the Great.","Printed by A. Donaldson, 1770.",1770,stk,BK,harvard,google,"Sully, Maximilien de BeÌthune, duc de, 1559-1641",1770,"Memoirs of Maximilian de Bethune, Duke of Sully, prime minister of Henry the Great.Newly translated from the French ed. of m. de L'Ecluse.  To which is annexed, The trial of Francis Ravaillac, for the murder of Henry the Great","Edinburgh :Printed by A. Donaldson,1770",5 v.21 cm,"Sully, Maximilien de BeÌthune,duc de,1559-1641",,,,,"France---History---Henri IV, 1589-1610._Ravaillac, FrancÌ§ois,---1578-1610._Henry---IV,---King of France,---1553-1610"
hvd.32044009042029,102728239,v.3,The compositions in prose and verse of Mr. John Oldham : to which are added Memoirs of his life and explanatory notes upon some obscure passages of his writings / by Edward Thompson.,"W. Flexney, M DCC LXX [1770]",1770,enk,BK,harvard,google,"Oldham, John, 1653-1683",1770,The compositions in prose and verse of Mr. John Oldham :to which are added Memoirs of his life and explanatory notes upon some obscure passages of his writings /by Edward Thompson,"London :W. Flexney,M DCC LXX [1770]",3 volumes ;15 cm,"Oldham, John,1653-1683","Thompson, Edward,1738?-1786",,,,"Oldham, John,---1653-1683---http://id.loc.gov/authorities/names/n82096118---http://viaf.org/viaf/46885246"
uc1.31175035163073,012476139,,A preservative against unsettled notions in religion.,"printed by W. Pine, 1770.",1770,enk,BK,universityofcalifornia,google,"Wesley, John, 1703-1791",1770,A preservative against unsettled notions in religion,"Bristol,printed by W. Pine,1770",246 p,"Wesley, John,1703-1791",,,,,Methodism
nyp.33433069321150,000156488,,"Letters written by His Excellency Arthur Capel, earl of Essex, Lord Lieutenant of Ireland, in the year 1675. : To which is prefixed an historical account of his life.","Printed for J. Dodsley, in Pall-mall; Wilson and Nicol; and T. Cadell, in the Strand; and Robinson and Roberts, in Pater-noster Row, MDCCLXX [1770]",1770,enk,BK,nypl,google,"Essex, Arthur Capel, Earl of, 1631-1683",1770,"Letters written by His Excellency Arthur Capel, earl of Essex, Lord Lieutenant of Ireland, in the year 1675. :To which is prefixed an historical account of his life","London :Printed for J. Dodsley, in Pall-mall; Wilson and Nicol; and T. Cadell, in the Strand; and Robinson and Roberts, in Pater-noster Row,MDCCLXX [1770]","xvi, 428 p. ;29 cm","Essex, Arthur Capel,Earl of,1631-1683",,,,Ireland.Lord Lieutenant (1672-1677 : Essex),"Ireland---History---1660-1688---Early works to 1800._Essex, Arthur Capel,---Earl of,---1631-1683---Correspondence"
mdp.39015059378730,000158257,v.6,A collection of poems in six volumes. By several hands,"Printed for J. Dodsley, 1770",1770,enk,BK,umich,google,"Dodsley, Robert, 1704-1764",1770,A collection of poems in six volumes.By several hands,"London,Printed for J. Dodsley,1770",6 v. ;18 cm,"Dodsley, Robert,1704-1764",,,,,Imprints---18th century---England---London.---local_English poetry---18th century
hvd.32044007887474,102728239,v.1,The compositions in prose and verse of Mr. John Oldham : to which are added Memoirs of his life and explanatory notes upon some obscure passages of his writings / by Edward Thompson.,"W. Flexney, M DCC LXX [1770]",1770,enk,BK,harvard,google,"Oldham, John, 1653-1683",1770,The compositions in prose and verse of Mr. John Oldham :to which are added Memoirs of his life and explanatory notes upon some obscure passages of his writings /by Edward Thompson,"London :W. Flexney,M DCC LXX [1770]",3 volumes ;15 cm,"Oldham, John,1653-1683","Thompson, Edward,1738?-1786",,,,"Oldham, John,---1653-1683---http://id.loc.gov/authorities/names/n82096118---http://viaf.org/viaf/46885246"
mdp.39015068481178,000156488,,"Letters written by His Excellency Arthur Capel, earl of Essex, Lord Lieutenant of Ireland, in the year 1675. : To which is prefixed an historical account of his life.","Printed for J. Dodsley, in Pall-mall; Wilson and Nicol; and T. Cadell, in the Strand; and Robinson and Roberts, in Pater-noster Row, MDCCLXX [1770]",1770,enk,BK,umich,google,"Essex, Arthur Capel, Earl of, 1631-1683",1770,"Letters written by His Excellency Arthur Capel, earl of Essex, Lord Lieutenant of Ireland, in the year 1675. :To which is prefixed an historical account of his life","London :Printed for J. Dodsley, in Pall-mall; Wilson and Nicol; and T. Cadell, in the Strand; and Robinson and Roberts, in Pater-noster Row,MDCCLXX [1770]","xvi, 428 p. ;29 cm","Essex, Arthur Capel,Earl of,1631-1683",,,,Ireland.Lord Lieutenant (1672-1677 : Essex),"Ireland---History---1660-1688---Early works to 1800._Essex, Arthur Capel,---Earl of,---1631-1683---Correspondence"
mdp.39015038740281,000284654,,The progress of war. A poem. By an officer.,Printed for T. and J. Egerton [1770?],1770,enk,BK,umich,google,"Christian, T. P",1770,The progress of war.A poem.By an officer,"London,Printed for T. and J. Egerton[1770?]","3 p. L., 33 p.26 x 21 cm","Christian, T. P",,,,,War poetry
mdp.35112104055837,010465990,,"Essays on the game laws, now existing in Great Britain ; and remarks on their principal defects : also, proposals for the better preservations of the game in this kingdom : with a plan for the destruction of vermin / by a sportsman","For T. Becket and P.A. DeHondt, 1770",1770,enk,BK,umich,google,,1770,"Essays on the game laws, now existing in Great Britain ;and remarks on their principal defects : also, proposals for the better preservations of the game in this kingdom : with a plan for the destruction of vermin /by a sportsman","London :For T. Becket and P.A. DeHondt,1770","[4], 23 p. ;20 cm",,,,,,Game laws---Great Britain
uc1.d0001250968,000523172,v.001 yr.1770,"Archaeologia, or, Miscellaneous tracts relating to antiquity / Society of Antiquaries of London.","The Society, 1770-",1770,enk,SE,universityofcalifornia,google,,1770,"Archaeologia, or, Miscellaneous tracts relating to antiquity /Society of Antiquaries of London","London :The Society,1770",v. :ill. ;28-31 cm,,,,,Society of Antiquaries of London,Great Britain---Antiquities---Periodicals._Art---Periodicals._Archaeology---Periodicals
nyp.33433043810708,000108456,,"A new history of Scotland, from the earliest accounts to the present time.","Printed for E. and C. Dilly, 1770.",1770,enk,BK,nypl,google,"Belfour, John",1770,"A new history of Scotland, from the earliest accounts to the present time","London,Printed for E. and C. Dilly,1770","vi, 294 p.illus., map","Belfour, John",,,,,Scotland---History
hvd.32044107247389,009714384,,"A letter to Dr. William Watson, giving some account of the manna tree and of the tarantula / by Dominico Cirillo.",1770].,1770,enk,BK,harvard,google,"Cirillo, Domenico, 1739-1799",1770,"A letter to Dr. William Watson, giving some account of the manna tree and of the tarantula /by Dominico Cirillo","[London,1770]",p. 233-238 ;23 cm,"Cirillo, Domenico,1739-1799",,,,,Tarantulas---Folklore._Ash (Plants)
